"                   ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," "
"State                   ","YTD 2016"," ","YTD 2016"," ","YTD 2016"," ","YTD 2015"," ","YTD 2015"," ","YTD 2015"," ","YTD 2014"," ","YTD 2014"," ","YTD 2014"," ","November 2016"," ","November 2016"," ","November 2016"," ","October 2016"," ","October 2016"," ","October 2016"," ","September 2016"," ","September 2016"," ","September 2016"," ","August 2016"," ","August 2016"," ","August 2016"," ","July 2016"," ","July 2016"," ","July 2016"," ","June 2016"," ","June 2016"," ","June 2016"," ","May 2016"," ","May 2016"," ","May 2016"," ","April 2016"," ","April 2016"," ","April 2016"," ","March 2016"," ","March 2016"," ","March 2016"," ","February 2016"," ","February 2016"," ","February 2016"," ","January 2016"," ","January 2016"," ","January 2016"," ","Total 2015"," ","Total 2015"," ","Total 2015"," ","December 2015"," ","December 2015"," ","December 2015"," ","November 2015"," ","November 2015"," ","November 2015"," ","October 2015"," ","October 2015"," ","October 2015"," "
"New Mexico","100.0","  ","54.5","  ","9.1","  ","100.0","  ","55.4","  ","7.8","  ","100.0","  ","55.0","  ","8.2","  ","99.9","  ","40.4","  ","14.2","  ","100.0","  ","43.2","  ","13.6","  ","100.0","  ","45.7","  ","10.2","  ","99.9","  ","46.0","  ","13.1","  ","100.0","  ","47.6","  ","10.7","  ","99.9","  ","51.5","  ","8.9","  ","100.0","  ","55.3","  ","7.5","  ","100.0","  ","55.9","  ","7.6","  ","100.0","  ","58.8","  ","5.7","  ","100.0","  ","64.2","  ","4.7","  ","100.0","  ","60.0","  ","4.7","  ","100.0","  ","0.0","NA","6.4","  ","100.0","  ","53.6","  ","9.2","  ","100.0","  ","45.8","  ","10.8","  ","99.9","  ","39.0","  ","12.4","  ",
"New York","100.0","  ","100.0","  ","5.8","  ","100.0","  ","100.0","  ","6.2","  ","100.0","  ","100.0","  ","6.1","  ","100.0","  ","100.0","  ","4.6","  ","100.0","  ","100.0","  ","4.6","  ","100.0","  ","100.0","  ","4.2","  ","100.0","  ","100.0","  ","4.0","  ","100.0","  ","100.0","  ","5.3","  ","100.0","  ","100.0","  ","5.0","  ","100.0","  ","100.0","  ","5.6","  ","100.0","  ","100.0","  ","5.5","  ","100.0","  ","100.0","  ","7.6","  ","100.0","  ","100.0","  ","8.3","  ","100.0","  ","100.0","  ","7.0","  ","100.0","  ","100.0","  ","0.0","NA","100.0","  ","100.0","  ","6.6","  ","100.0","  ","100.0","  ","5.0","  ","100.0","  ","100.0","  ","4.4","  ",
"North Carolina","100.0","  ","0.0","NA","10.7","  ","100.0","  ","83.4","  ","10.7","  ","100.0","  ","84.6","  ","10.0","  ","100.0","  ","0.0","NA","10.6","  ","100.0","  ","77.7","  ","9.2","  ","100.0","  ","76.5","  ","10.1","  ","100.0","  ","0.0","NA","9.0","  ","100.0","  ","75.2","  ","9.1","  ","100.0","  ","77.3","  ","9.2","  ","100.0","  ","77.9","  ","9.5","  ","100.0","  ","81.0","  ","10.7","  ","100.0","  ","81.5","  ","12.2","  ","100.0","  ","88.0","  ","13.9","  ","100.0","  ","89.4","  ","12.7","  ","100.0","  ","0.0","NA","10.9","  ","100.0","  ","81.7","  ","11.2","  ","100.0","  ","81.3","  ","10.2","  ","100.0","  ","79.7","  ","9.9","  ",
"North Dakota","100.0","  ","92.5","  ","30.6","  ","100.0","  ","92.8","  ","40.0","  ","100.0","  ","92.9","  ","34.9","  ","100.0","  ","92.8","  ","34.9","  ","100.0","  ","90.7","  ","38.0","  ","100.0","  ","88.8","  ","39.1","  ","100.0","  ","86.1","  ","9.7","  ","100.0","  ","86.6","  ","16.3","  ","100.0","  ","85.0","  ","37.8","  ","100.0","  ","90.4","  ","39.8","  ","100.0","  ","92.7","  ","22.9","  ","100.0","  ","93.5","  ","30.6","  ","100.0","  ","94.4","  ","23.6","  ","100.0","  ","94.6","  ","30.4","  ","100.0","  ","93.0","  ","39.6","  ","100.0","  ","94.3","  ","24.1","  ","100.0","  ","93.3","  ","44.1","  ","100.0","  ","90.8","  ","43.1","  ",
"Ohio","100.0","  ","100.0","  ","0.0","NA","100.0","  ","100.0","  ","2.0","  ","100.0","  ","100.0","  ","1.9","  ","100.0","  ","100.0","  ","1.3","  ","100.0","  ","100.0","  ","0.8","  ","100.0","  ","100.0","  ","0.0","NA","100.0","  ","100.0","  ","0.7","  ","100.0","  ","100.0","  ","0.0","NA","100.0","  ","100.0","  ","0.0","NA","100.0","  ","100.0","  ","0.9","  ","100.0","  ","100.0","  ","0.0","NA","100.0","  ","100.0","  ","2.0","  ","100.0","  ","100.0","  ","2.9","  ","100.0","  ","100.0","  ","2.6","  ","100.0","  ","100.0","  ","0.0","NA","100.0","  ","100.0","  ","2.1","  ","100.0","  ","100.0","  ","1.7","  ","100.0","  ","100.0","  ","1.2","  ",
"Oklahoma","100.0","  ","0.0","NA","0.0","NA","100.0","  ","44.2","  ","0.6","  ","100.0","  ","44.6","  ","0.8","  ","100.0","  ","0.0","NA","0.2","  ","100.0","  ","25.5","  ","0.2","  ","100.0","  ","27.5","  ","0.4","  ","100.0","  ","26.9","  ","0.0","NA","100.0","  ","29.3","  ","0.0","NA","100.0","  ","31.9","  ","0.0","NA","100.0","  ","29.6","  ","0.2","  ","100.0","  ","41.9","  ","0.4","  ","100.0","  ","45.7","  ","0.7","  ","100.0","  ","54.3","  ","1.2","  ","100.0","  ","49.3","  ","0.5","  ","100.0","  ","44.1","  ","0.6","  ","100.0","  ","41.0","  ","0.9","  ","100.0","  ","24.0","  ","0.4","  ","100.0","  ","26.7","  ","0.3","  ",
"Oregon","100.0","  ","0.0","NA","15.2","  ","100.0","  ","95.1","  ","16.5","  ","100.0","  ","95.9","  ","17.1","  ","100.0","  ","0.0","NA","16.1","  ","100.0","  ","94.3","  ","15.0","  ","100.0","  ","92.9","  ","14.9","  ","100.0","  ","92.9","  ","13.8","  ","100.0","  ","0.0","NA","13.5","  ","100.0","  ","93.0","  ","13.6","  ","100.0","  ","93.6","  ","13.7","  ","100.0","  ","93.7","  ","15.0","  ","100.0","  ","94.5","  ","16.3","  ","100.0","  ","94.9","  ","16.9","  ","100.0","  ","95.4","  ","17.3","  ","100.0","  ","0.0","NA","16.6","  ","100.0","  ","95.2","  ","16.6","  ","100.0","  ","95.0","  ","16.4","  ","100.0","  ","94.6","  ","16.9","  ",
"Pennsylvania","87.5","  ","36.8","  ","0.0","NA","86.4","  ","40.4","  ","1.0","  ","86.3","  ","41.1","  ","1.1","  ","88.9","  ","38.2","  ","0.9","  ","88.1","  ","33.0","  ","0.5","  ","88.1","  ","27.2","  ","0.4","R","87.8","  ","28.0","  ","0.4","  ","87.6","  ","26.8","  ","0.3","  ","87.1","  ","27.1","  ","0.0","NA","86.9","  ","30.2","  ","0.0","NA","87.3","  ","35.0","  ","0.9","R","87.1","  ","37.7","  ","1.4","R","87.1","  ","41.6","  ","2.1","R","87.7","  ","42.5","  ","1.7","R","86.4","  ","0.0","NA","1.0","  ","86.8","  ","38.5","  ","1.0","  ","87.7","  ","37.2","  ","0.7","  ","87.9","  ","34.5","  ","0.4","  ",
"Rhode Island","100.0","  ","52.6","  ","3.3","  ","100.0","  ","54.0","  ","5.5","  ","100.0","  ","51.6","  ","8.1","  ","100.0","  ","51.7","  ","2.7","  ","100.0","  ","54.0","  ","3.5","  ","100.0","  ","54.2","  ","2.7","  ","100.0","  ","55.6","  ","2.3","  ","100.0","  ","53.9","  ","3.5","  ","100.0","  ","46.6","  ","3.7","  ","100.0","  ","47.1","  ","3.1","  ","100.0","  ","51.2","  ","3.1","  ","100.0","  ","52.7","  ","4.0","  ","100.0","  ","53.6","  ","3.6","  ","100.0","  ","56.3","  ","3.9","  ","100.0","  ","53.9","  ","5.3","  ","100.0","  ","54.1","  ","4.9","  ","100.0","  ","48.7","  ","4.6","  ","100.0","  ","53.9","  ","3.3","  ",
"South Carolina","100.0","  ","91.5","  ","41.3","  ","100.0","  ","91.9","  ","43.0","  ","100.0","  ","92.9","  ","43.8","  ","100.0","  ","91.6","  ","40.9","  ","100.0","  ","90.1","  ","41.4","  ","100.0","  ","89.2","  ","42.1","  ","100.0","  ","90.0","  ","40.3","  ","100.0","  ","89.4","  ","40.3","  ","100.0","  ","90.7","  ","42.5","  ","100.0","  ","89.4","  ","41.2","  ","100.0","  ","89.9","  ","40.9","  ","100.0","  ","90.7","  ","43.7","  ","100.0","  ","93.4","  ","42.3","  ","100.0","  ","94.8","  ","38.4","  ","100.0","  ","91.3","  ","42.1","  ","100.0","  ","90.7","  ","39.0","  ","100.0","  ","91.8","  ","43.3","  ","100.0","  ","90.2","  ","44.1","  ",
"South Dakota","100.0","  ","79.9","  ","4.3","  ","100.0","  ","80.2","  ","4.3","  ","100.0","  ","81.3","  ","4.4","  ","100.0","  ","80.8","  ","6.7","  ","100.0","  ","76.4","  ","3.1","  ","100.0","  ","72.1","  ","1.9","  ","100.0","  ","69.1","  ","1.9","  ","100.0","  ","73.0","  ","2.4","  ","100.0","  ","72.3","  ","3.0","  ","100.0","  ","77.0","  ","3.6","  ","100.0","  ","80.5","  ","4.6","  ","100.0","  ","80.5","  ","5.9","  ","100.0","  ","82.3","  ","6.8","  ","100.0","  ","84.4","  ","6.8","  ","100.0","  ","81.0","  ","4.1","  ","100.0","  ","82.6","  ","5.6","  ","100.0","  ","80.3","  ","5.8","  ","100.0","  ","75.0","  ","3.0","  ",
"Tennessee","100.0","  ","0.0","NA","26.8","  ","100.0","  ","88.5","  ","29.8","  ","100.0","  ","90.6","  ","30.0","  ","100.0","  ","85.0","  ","24.0","  ","100.0","  ","0.0","NA","23.1","  ","100.0","  ","79.1","  ","24.6","  ","100.0","  ","77.7","  ","26.8","  ","100.0","  ","79.8","  ","25.6","  ","100.0","  ","79.9","  ","26.5","  ","100.0","  ","83.7","  ","27.8","  ","100.0","  ","86.0","  ","28.5","  ","100.0","  ","90.0","  ","30.0","  ","100.0","  ","92.5","  ","29.3","  ","100.0","  ","91.2","  ","28.2","  ","100.0","  ","88.6","  ","29.6","  ","100.0","  ","88.3","  ","28.7","  ","100.0","  ","85.4","  ","29.5","  ","100.0","  ","81.8","  ","31.5","  ",
"Texas","0.0","NA","0.0","NA","0.0","NA","99.8","  ","71.2","  ","41.1","  ","99.8","  ","72.3","  ","40.5","  ","99.5","  ","0.0","NA","0.0","NA","99.7","  ","63.2","  ","38.2","  ","99.8","  ","62.5","  ","40.0","  ","99.8","  ","61.3","  ","0.0","NA","99.8","  ","64.2","  ","0.0","NA","0.0","NA","0.0","NA","41.4","  ","99.8","  ","63.0","  ","42.1","  ","99.8","  ","69.3","  ","40.8","  ","99.8","  ","71.9","  ","41.0","  ","99.8","  ","76.4","  ","38.7","  ","99.8","  ","78.6","  ","40.3","  ","99.8","  ","0.0","NA","40.7","  ","99.8","  ","76.3","  ","41.5","  ","99.8","  ","66.0","  ","41.1","  ","99.8","  ","64.2","  ","42.0","  ",
"Utah","100.0","  ","0.0","NA","5.6","  ","100.0","  ","76.3","  ","7.6","  ","100.0","  ","77.9","  ","9.2","  ","100.0","  ","0.0","NA","4.4","  ","100.0","  ","66.7","  ","4.5","  ","100.0","  ","62.4","  ","5.1","  ","100.0","  ","60.4","  ","4.9","  ","100.0","  ","66.2","  ","5.6","  ","100.0","  ","67.5","  ","6.2","  ","100.0","  ","69.4","  ","6.4","  ","100.0","  ","75.9","  ","6.1","  ","100.0","  ","77.6","  ","5.9","  ","100.0","  ","80.7","  ","5.9","  ","100.0","  ","82.9","  ","6.4","  ","100.0","  ","77.0","  ","8.6","  ","100.0","  ","80.7","  ","5.8","  ","100.0","  ","76.1","  ","6.3","  ","100.0","  ","67.0","  ","6.7","  ",
"Vermont","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","0.0","NA","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ",
"Virginia","89.9","  ","0.0","NA","0.0","NA","89.5","  ","54.1","  ","10.2","  ","90.0","  ","55.4","  ","10.9","  ","91.7","  ","0.0","NA","11.1","  ","89.9","  ","45.9","  ","0.0","NA","87.8","  ","37.3","  ","8.5","  ","87.5","  ","42.8","  ","7.8","  ","87.7","  ","39.9","  ","9.3","  ","87.9","  ","43.5","  ","7.6","  ","88.5","  ","47.7","  ","11.0","  ","88.7","  ","51.3","  ","8.5","  ","89.1","  ","51.4","  ","9.4","  ","90.2","  ","57.9","  ","13.8","  ","91.3","  ","60.4","  ","11.1","  ","89.5","  ","54.2","  ","0.0","NA","89.1","  ","52.9","  ","10.6","  ","90.3","  ","50.1","  ","7.7","  ","88.9","  ","47.8","  ","10.6","  ",
"Washington","0.0","NA","0.0","NA","6.1","  ","100.0","  ","84.5","  ","5.9","  ","100.0","  ","85.5","  ","6.4","  ","100.0","  ","86.5","  ","6.7","  ","100.0","  ","85.4","  ","5.4","  ","100.0","  ","81.4","  ","5.0","  ","100.0","  ","78.5","  ","4.5","  ","100.0","  ","81.1","  ","4.3","  ","0.0","NA","0.0","NA","4.4","  ","100.0","  ","81.4","  ","5.3","  ","100.0","  ","81.4","  ","6.3","  ","100.0","  ","87.4","  ","7.9","  ","100.0","  ","86.7","  ","7.6","  ","100.0","  ","89.0","  ","8.3","  ","100.0","  ","85.4","  ","6.2","  ","100.0","  ","89.2","  ","8.7","  ","100.0","  ","88.3","  ","6.2","  ","100.0","  ","82.7","  ","5.7","  ",
"West Virginia","100.0","  ","49.3","  ","0.0","NA","100.0","  ","53.2","  ","15.6","  ","100.0","  ","55.9","  ","15.8","  ","100.0","  ","50.8","  ","8.0","  ","100.0","  ","39.0","  ","14.6","  ","100.0","  ","29.7","  ","13.7","  ","100.0","  ","27.0","  ","11.8","  ","100.0","  ","29.0","  ","10.6","  ","100.0","  ","28.7","  ","11.8","  ","100.0","  ","32.4","  ","13.7","  ","100.0","  ","52.0","  ","11.5","  ","100.0","  ","54.7","  ","0.0","NA","100.0","  ","63.6","  ","16.7","  ","100.0","  ","64.0","  ","13.5","  ","100.0","  ","53.3","  ","0.0","NA","100.0","  ","56.1","  ","18.7","  ","100.0","  ","49.5","  ","12.4","  ","100.0","  ","46.0","  ","15.8","  ",
"Wisconsin","100.0","  ","69.6","  ","15.5","  ","100.0","  ","71.6","  ","16.7","  ","100.0","  ","76.5","  ","19.1","  ","100.0","  ","70.1","  ","17.0","  ","100.0","  ","61.9","  ","14.9","  ","100.0","  ","51.7","  ","11.9","  ","100.0","  ","49.4","  ","12.2","  ","100.0","  ","48.0","  ","11.5","  ","100.0","  ","57.5","  ","13.0","  ","100.0","  ","58.7","  ","12.1","  ","100.0","  ","72.1","  ","15.1","  ","100.0","  ","73.8","  ","16.6","  ","100.0","  ","76.8","  ","20.3","  ","100.0","  ","79.5","  ","20.1","  ","100.0","  ","0.0","NA","0.0","NA","100.0","  ","74.9","  ","17.5","  ","100.0","  ","72.1","  ","20.0","  ","100.0","  ","66.0","  ","14.8","  ",
"Wyoming","0.0","NA","0.0","NA","0.0","NA","72.6","  ","50.8","  ","1.8","  ","72.8","  ","60.6","  ","1.4","  ","74.0","  ","0.0","NA","0.0","NA","77.6","  ","49.0","  ","1.5","  ","72.1","  ","50.4","  ","0.0","NA","0.0","NA","42.5","  ","1.9","  ","0.0","NA","51.1","  ","0.0","NA","71.0","  ","46.2","  ","0.0","NA","71.8","  ","54.6","  ","0.0","NA","71.9","  ","52.6","  ","0.0","NA","72.1","  ","54.4","  ","0.0","NA","71.8","  ","50.5","  ","2.3","  ","70.6","  ","49.7","  ","2.3","  ","73.0","  ","0.0","NA","0.0","NA","74.7","  ","51.2","  ","2.7","  ","75.4","  ","45.1","  ","1.4","  ","76.8","  ","55.9","  ","1.8","  ",
" Total","95.8","  ","64.3","  ","14.8","  ","95.6","  ","65.5","  ","15.0","  ","95.5","  ","65.4","  ","14.8","  ","96.0","  ","63.6","  ","14.7","  ","95.9","  ","59.8","  ","14.5","R","96.1","  ","56.0","R","14.6","R","95.8","  ","54.7","R","14.7","R","95.9","  ","56.9","R","14.3","R","95.7","  ","57.9","  ","14.6","R","95.4","  ","60.2","  ","14.6","R","95.6","  ","65.1","  ","14.5","R","95.6","  ","66.8","  ","15.2","  ","95.9","  ","69.4","  ","15.4","R","96.1","  ","70.4","  ","15.3","R","95.7","  ","65.9","  ","15.1","  ","96.1","  ","67.6","  ","15.2","  ","96.0","  ","63.9","  ","15.1","  ","95.5","  ","59.5","  ","14.9","  ",
