"                   ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," "
"State                   ","YTD 2016"," ","YTD 2016"," ","YTD 2016"," ","YTD 2015"," ","YTD 2015"," ","YTD 2015"," ","YTD 2014"," ","YTD 2014"," ","YTD 2014"," ","February 2016"," ","February 2016"," ","February 2016"," ","January 2016"," ","January 2016"," ","January 2016"," ","Total 2015"," ","Total 2015"," ","Total 2015"," ","December 2015"," ","December 2015"," ","December 2015"," ","November 2015"," ","November 2015"," ","November 2015"," ","October 2015"," ","October 2015"," ","October 2015"," ","September 2015"," ","September 2015"," ","September 2015"," ","August 2015"," ","August 2015"," ","August 2015"," ","July 2015"," ","July 2015"," ","July 2015"," ","June 2015"," ","June 2015"," ","June 2015"," ","May 2015"," ","May 2015"," ","May 2015"," ","April 2015"," ","April 2015"," ","April 2015"," ","March 2015"," ","March 2015"," ","March 2015"," ","February 2015"," ","February 2015"," ","February 2015"," ","January 2015"," ","January 2015"," ","January 2015"," "
"New Mexico","100.0","  ","59.0","  ","0.0","NA","100.0","  ","61.0","  ","3.3","  ","100.0","  ","63.9","  ","5.2","  ","100.0","  ","56.6","  ","0.0","NA","100.0","  ","61.4","  ","2.7","  ","100.0","  ","0.0","NA","6.4","  ","100.0","  ","53.1","  ","7.4","  ","100.0","  ","0.0","NA","8.7","  ","99.9","  ","38.6","  ","10.0","  ","100.0","  ","47.1","  ","7.9","  ","100.0","  ","46.5","  ","9.5","  ","100.0","  ","47.4","  ","7.3","  ","100.0","  ","51.4","  ","5.3","  ","100.0","  ","52.4","  ","6.2","  ","100.0","  ","59.8","  ","5.4","  ","100.0","  ","62.6","  ","2.9","  ","100.0","  ","61.8","  ","2.8","  ","100.0","  ","60.3","  ","3.8","  ",
"New York","100.0","  ","100.0","  ","7.8","  ","100.0","  ","100.0","  ","7.9","  ","100.0","  ","100.0","  ","7.8","  ","100.0","  ","100.0","  ","8.4","  ","100.0","  ","100.0","  ","7.2","  ","100.0","  ","100.0","  ","0.0","NA","100.0","  ","100.0","  ","6.7","  ","100.0","  ","100.0","  ","5.1","  ","100.0","  ","100.0","  ","4.5","  ","100.0","  ","100.0","  ","4.7","  ","100.0","  ","100.0","  ","4.9","  ","100.0","  ","100.0","  ","5.0","  ","100.0","  ","100.0","  ","5.5","  ","100.0","  ","100.0","  ","0.0","NA","100.0","  ","100.0","  ","7.4","  ","100.0","  ","100.0","  ","8.0","  ","100.0","  ","100.0","  ","8.8","  ","100.0","  ","100.0","  ","7.0","  ",
"North Carolina","100.0","  ","88.8","  ","13.5","  ","100.0","  ","90.0","  ","14.1","  ","100.0","  ","89.4","  ","13.0","  ","100.0","  ","88.0","  ","14.1","  ","100.0","  ","89.4","  ","12.9","  ","0.0","NA","0.0","NA","10.9","  ","100.0","  ","0.0","NA","11.4","  ","100.0","  ","81.3","  ","10.4","  ","100.0","  ","79.7","  ","10.0","  ","100.0","  ","75.8","  ","9.4","  ","0.0","NA","0.0","NA","9.4","  ","100.0","  ","73.6","  ","8.7","  ","100.0","  ","76.5","  ","8.8","  ","100.0","  ","76.6","  ","9.2","  ","100.0","  ","80.1","  ","10.2","  ","100.0","  ","0.0","NA","13.2","  ","100.0","  ","90.7","  ","14.8","  ","100.0","  ","89.2","  ","13.5","  ",
"North Dakota","100.0","  ","94.5","  ","27.9","  ","100.0","  ","94.9","  ","43.0","  ","100.0","  ","95.0","  ","35.7","  ","100.0","  ","94.4","  ","24.2","  ","100.0","  ","94.6","  ","31.1","  ","100.0","  ","0.0","NA","39.6","  ","100.0","  ","94.3","  ","24.7","  ","100.0","  ","93.2","  ","44.9","  ","100.0","  ","0.0","NA","44.0","  ","100.0","  ","87.0","  ","41.6","  ","100.0","  ","82.9","  ","34.8","  ","100.0","  ","85.7","  ","23.9","  ","100.0","  ","85.1","  ","39.3","  ","100.0","  ","90.1","  ","43.5","  ","100.0","  ","92.1","  ","38.8","  ","100.0","  ","94.7","  ","45.8","  ","100.0","  ","94.9","  ","44.7","  ","100.0","  ","94.8","  ","41.4","  ",
"Ohio","100.0","  ","100.0","  ","2.6","  ","100.0","  ","100.0","  ","3.2","  ","100.0","  ","100.0","  ","3.3","  ","100.0","  ","100.0","  ","2.8","  ","100.0","  ","100.0","  ","2.4","  ","100.0","  ","100.0","  ","0.0","NA","100.0","  ","100.0","  ","2.0","  ","100.0","  ","100.0","  ","1.6","  ","100.0","  ","100.0","  ","1.1","  ","100.0","  ","100.0","  ","0.0","NA","100.0","  ","100.0","  ","1.0","  ","100.0","  ","100.0","  ","1.4","  ","100.0","  ","100.0","  ","0.6","  ","100.0","  ","100.0","  ","1.1","  ","100.0","  ","100.0","  ","1.5","  ","100.0","  ","100.0","  ","3.2","  ","100.0","  ","100.0","  ","3.1","  ","100.0","  ","100.0","  ","3.3","  ",
"Oklahoma","0.0","NA","0.0","NA","0.0","NA","100.0","  ","52.4","  ","1.1","  ","100.0","  ","54.3","  ","1.5","  ","0.0","NA","0.0","NA","0.0","NA","100.0","  ","53.7","  ","0.5","  ","100.0","  ","43.7","  ","0.0","NA","100.0","  ","47.6","  ","0.9","  ","100.0","  ","30.8","  ","0.4","  ","100.0","  ","30.1","  ","0.3","  ","100.0","  ","29.4","  ","0.0","NA","100.0","  ","28.6","  ","0.4","  ","100.0","  ","30.4","  ","0.0","NA","100.0","  ","29.0","  ","0.3","  ","100.0","  ","31.0","  ","0.5","  ","100.0","  ","34.0","  ","0.4","  ","100.0","  ","52.1","  ","1.5","  ","100.0","  ","48.5","  ","1.0","  ","100.0","  ","56.1","  ","1.2","  ",
"Oregon","100.0","  ","95.2","  ","17.2","  ","100.0","  ","96.0","  ","17.6","  ","100.0","  ","96.9","  ","19.1","  ","100.0","  ","94.9","  ","16.9","  ","100.0","  ","95.4","  ","17.4","  ","100.0","  ","0.0","NA","16.6","  ","100.0","  ","95.3","  ","16.6","  ","100.0","  ","95.1","  ","16.5","  ","100.0","  ","94.7","  ","17.0","  ","100.0","  ","94.2","  ","17.0","  ","100.0","  ","94.0","  ","15.4","  ","100.0","  ","94.3","  ","15.3","  ","100.0","  ","0.0","NA","15.0","  ","100.0","  ","95.0","  ","16.1","  ","100.0","  ","95.6","  ","17.2","  ","100.0","  ","95.4","  ","17.1","  ","100.0","  ","95.6","  ","17.7","  ","100.0","  ","96.4","  ","17.6","  ",
"Pennsylvania","87.4","  ","42.1","  ","1.6","  ","86.5","  ","45.6","  ","2.1","  ","86.5","  ","45.4","  ","2.3","  ","87.1","  ","41.7","  ","1.8","  ","87.7","  ","42.5","  ","1.4","  ","0.0","NA","0.0","NA","1.0","  ","86.8","  ","38.5","  ","1.0","  ","87.7","  ","37.3","  ","0.7","  ","0.0","NA","0.0","NA","0.4","  ","87.3","  ","29.5","  ","0.2","  ","87.4","  ","28.5","  ","0.2","  ","87.1","  ","28.5","  ","0.2","  ","85.7","  ","30.1","  ","0.3","  ","85.3","  ","33.3","  ","0.4","  ","85.4","  ","37.1","  ","1.1","  ","86.0","  ","44.0","  ","2.2","  ","86.4","  ","45.7","  ","2.3","  ","86.5","  ","45.5","  ","2.0","  ",
"Rhode Island","100.0","  ","54.8","  ","3.7","  ","100.0","  ","56.5","  ","7.6","  ","100.0","  ","54.3","  ","7.3","  ","100.0","  ","53.6","  ","3.6","  ","100.0","  ","56.3","  ","3.9","  ","100.0","  ","53.9","  ","5.3","  ","100.0","  ","54.1","  ","4.8","  ","100.0","  ","48.6","  ","4.4","  ","100.0","  ","53.9","  ","3.3","  ","100.0","  ","53.1","  ","3.4","  ","100.0","  ","52.8","  ","3.5","  ","100.0","  ","51.5","  ","4.8","  ","100.0","  ","50.0","  ","5.2","  ","100.0","  ","46.8","  ","4.0","  ","100.0","  ","51.7","  ","6.0","  ","100.0","  ","55.6","  ","8.6","  ","100.0","  ","56.7","  ","7.6","  ","100.0","  ","56.2","  ","7.5","  ",
"South Carolina","100.0","  ","94.2","  ","39.8","  ","100.0","  ","93.6","  ","40.6","  ","100.0","  ","96.7","  ","44.7","  ","100.0","  ","93.4","  ","41.8","  ","100.0","  ","94.8","  ","37.9","  ","100.0","  ","91.3","  ","42.1","  ","100.0","  ","90.1","  ","38.5","  ","100.0","  ","91.3","  ","42.8","  ","100.0","  ","89.7","  ","43.6","  ","100.0","  ","88.8","  ","43.2","  ","100.0","  ","90.2","  ","41.8","  ","100.0","  ","90.1","  ","42.2","  ","100.0","  ","89.7","  ","41.9","  ","100.0","  ","89.2","  ","41.9","  ","100.0","  ","90.3","  ","44.0","  ","100.0","  ","91.8","  ","43.8","  ","100.0","  ","92.8","  ","38.3","  ","100.0","  ","94.4","  ","42.5","  ",
"South Dakota","100.0","  ","83.8","  ","6.3","  ","100.0","  ","84.7","  ","6.3","  ","100.0","  ","84.0","  ","6.1","  ","100.0","  ","82.6","  ","6.3","  ","100.0","  ","84.7","  ","6.3","  ","100.0","  ","81.0","  ","4.1","  ","100.0","  ","83.0","  ","5.2","  ","100.0","  ","80.8","  ","5.4","  ","100.0","  ","75.5","  ","2.8","  ","100.0","  ","69.1","  ","2.0","  ","100.0","  ","69.8","  ","2.2","  ","100.0","  ","71.7","  ","1.9","  ","100.0","  ","71.8","  ","2.4","  ","100.0","  ","77.8","  ","3.2","  ","100.0","  ","79.7","  ","3.9","  ","100.0","  ","82.9","  ","6.7","  ","100.0","  ","84.1","  ","6.2","  ","100.0","  ","85.2","  ","6.3","  ",
"Tennessee","100.0","  ","91.9","  ","28.8","  ","100.0","  ","93.2","  ","30.1","  ","100.0","  ","94.3","  ","32.1","  ","100.0","  ","92.5","  ","29.4","  ","100.0","  ","91.2","  ","28.2","  ","100.0","  ","88.6","  ","29.6","  ","100.0","  ","88.4","  ","28.6","  ","100.0","  ","85.5","  ","29.4","  ","100.0","  ","81.9","  ","31.4","  ","100.0","  ","79.7","  ","29.3","  ","100.0","  ","76.7","  ","29.5","  ","100.0","  ","79.8","  ","27.8","  ","100.0","  ","80.8","  ","29.0","  ","100.0","  ","84.0","  ","30.4","  ","100.0","  ","88.3","  ","28.9","  ","100.0","  ","92.8","  ","30.3","  ","100.0","  ","93.4","  ","30.9","  ","100.0","  ","93.0","  ","29.3","  ",
"Texas","99.8","  ","77.5","  ","39.8","  ","100.0","  ","0.0","NA","39.5","  ","99.8","  ","80.2","  ","39.2","  ","99.8","  ","76.4","  ","38.7","  ","99.8","  ","78.6","  ","40.8","  ","99.9","  ","0.0","NA","40.7","  ","99.8","  ","76.4","  ","40.5","  ","99.6","  ","66.1","  ","40.0","  ","100.0","  ","64.3","  ","40.9","  ","100.0","  ","62.6","  ","41.3","  ","99.7","  ","63.0","  ","39.5","  ","99.7","  ","65.9","  ","41.5","  ","99.8","  ","66.9","  ","41.4","  ","99.7","  ","64.2","  ","43.6","  ","99.8","  ","68.9","  ","40.0","  ","99.9","  ","0.0","NA","40.8","  ","100.0","  ","0.0","NA","39.2","  ","100.0","  ","80.4","  ","39.8","  ",
"Utah","100.0","  ","81.9","  ","7.0","  ","100.0","  ","82.2","  ","8.2","  ","100.0","  ","83.2","  ","9.2","  ","100.0","  ","80.7","  ","6.8","  ","100.0","  ","82.9","  ","7.3","R","100.0","  ","77.0","  ","8.6","  ","100.0","  ","80.7","  ","6.7","  ","100.0","  ","76.1","  ","7.2","  ","100.0","  ","67.0","  ","7.7","  ","100.0","  ","66.7","  ","7.6","  ","100.0","  ","65.1","  ","8.0","  ","100.0","  ","66.9","  ","10.9","  ","100.0","  ","67.1","  ","11.4","  ","100.0","  ","69.4","  ","10.2","  ","100.0","  ","74.7","  ","8.9","  ","100.0","  ","80.8","  ","8.3","  ","100.0","  ","78.4","  ","7.7","  ","100.0","  ","85.0","  ","8.6","  ",
"Vermont","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","0.0","NA","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ","100.0","  ",
"Virginia","90.7","  ","59.5","  ","0.0","NA","90.8","  ","62.4","  ","0.0","NA","90.6","  ","63.9","  ","15.7","  ","90.3","  ","58.3","  ","12.8","  ","91.3","  ","60.8","  ","0.0","NA","89.9","  ","54.2","  ","0.0","NA","89.5","  ","53.2","  ","10.5","  ","90.7","  ","50.4","  ","7.5","  ","89.3","  ","48.0","  ","10.0","  ","88.8","  ","40.0","  ","9.0","  ","87.8","  ","44.3","  ","7.7","  ","87.6","  ","47.0","  ","7.3","  ","87.5","  ","43.1","  ","8.1","  ","87.4","  ","45.8","  ","7.7","  ","89.2","  ","50.3","  ","0.0","NA","89.4","  ","58.9","  ","16.5","  ","90.9","  ","62.5","  ","0.0","NA","90.7","  ","62.2","  ","13.6","  ",
"Washington","100.0","  ","87.1","  ","0.0","NA","100.0","  ","87.5","  ","8.0","  ","100.0","  ","88.3","  ","8.4","  ","100.0","  ","86.7","  ","7.6","  ","100.0","  ","87.3","  ","0.0","NA","100.0","  ","85.2","  ","0.0","NA","100.0","  ","87.2","  ","0.0","NA","100.0","  ","86.0","  ","0.0","NA","100.0","  ","83.1","  ","5.5","  ","100.0","  ","80.7","  ","5.0","  ","100.0","  ","84.3","  ","4.1","  ","100.0","  ","79.6","  ","4.5","  ","100.0","  ","79.8","  ","4.8","  ","100.0","  ","81.5","  ","5.5","  ","100.0","  ","85.1","  ","6.5","  ","100.0","  ","87.5","  ","7.4","  ","100.0","  ","86.1","  ","8.1","  ","100.0","  ","88.7","  ","7.9","  ",
"West Virginia","100.0","  ","64.1","  ","12.8","  ","100.0","  ","66.0","  ","12.9","  ","100.0","  ","66.3","  ","17.2","  ","100.0","  ","63.5","  ","14.3","  ","100.0","  ","64.6","  ","11.5","  ","100.0","  ","53.3","  ","0.0","NA","100.0","  ","56.0","  ","0.0","NA","100.0","  ","49.4","  ","0.0","NA","100.0","  ","45.9","  ","13.9","  ","100.0","  ","27.5","  ","12.8","  ","100.0","  ","32.7","  ","12.1","  ","100.0","  ","28.1","  ","11.5","  ","100.0","  ","26.3","  ","13.0","  ","100.0","  ","34.0","  ","12.2","  ","100.0","  ","52.0","  ","19.4","  ","100.0","  ","67.0","  ","17.1","  ","100.0","  ","67.9","  ","15.6","  ","100.0","  ","64.1","  ","10.1","  ",
"Wisconsin","100.0","  ","77.8","  ","20.6","  ","100.0","  ","81.0","  ","22.8","  ","100.0","  ","82.1","  ","26.3","  ","100.0","  ","76.8","  ","20.7","  ","100.0","  ","78.7","  ","20.5","R","100.0","  ","0.0","NA","0.0","NA","100.0","  ","77.7","  ","17.7","  ","100.0","  ","75.1","  ","20.3","  ","100.0","  ","69.4","  ","15.0","  ","100.0","  ","58.1","  ","12.6","  ","100.0","  ","57.2","  ","11.1","  ","100.0","  ","54.8","  ","11.5","  ","100.0","  ","60.1","  ","11.4","  ","100.0","  ","66.2","  ","13.2","  ","100.0","  ","0.0","NA","0.0","NA","100.0","  ","78.7","  ","20.6","  ","100.0","  ","81.0","  ","22.2","  ","100.0","  ","81.0","  ","23.3","  ",
"Wyoming","73.6","  ","55.1","  ","2.6","  ","71.8","  ","0.0","NA","1.8","  ","72.2","  ","62.1","  ","1.1","  ","74.2","  ","56.3","  ","2.6","  ","73.1","  ","54.2","  ","2.6","  ","73.3","  ","0.0","NA","0.0","NA","75.7","  ","53.2","  ","0.0","NA","75.4","  ","46.0","  ","1.4","  ","76.5","  ","54.8","  ","1.9","  ","75.3","  ","51.1","  ","2.1","  ","76.0","  ","58.0","  ","2.9","  ","75.2","  ","55.0","  ","2.2","  ","72.4","  ","56.3","  ","1.8","  ","72.6","  ","45.4","  ","2.0","  ","72.7","  ","53.3","  ","1.9","  ","72.1","  ","53.8","  ","2.3","  ","72.9","  ","43.2","  ","2.9","  ","70.9","  ","0.0","NA","0.9","  ",
" Total","96.0","  ","69.9","  ","16.2","  ","95.7","  ","71.0","  ","16.0","  ","95.6","  ","70.6","  ","16.8","  ","95.9","  ","69.2","  ","16.1","  ","96.0","  ","70.5","R","16.3","  ","95.7","  ","65.9","  ","15.9","  ","96.1","  ","67.8","  ","16.0","  ","96.0","  ","64.0","  ","15.9","  ","95.5","  ","60.4","  ","15.7","  ","95.9","  ","56.0","  ","15.5","  ","95.5","  ","55.1","  ","15.3","  ","95.7","  ","57.1","  ","15.6","  ","95.5","  ","57.8","  ","15.6","  ","95.5","  ","61.5","  ","16.4","  ","95.5","  ","64.7","  ","15.8","  ","95.5","  ","70.1","  ","16.6","  ","95.7","  ","71.1","  ","16.1","  ","95.8","  ","71.0","  ","15.9","  ",
